역사명,방향,DAY,END,SAT,차이(주중-주말),평균
방학,DOWN,9.52,10.48,10.48,-0.9600000000000009,10.0
창동,DOWN,9.52,10.48,10.48,-0.9600000000000009,10.0
회룡,DOWN,9.52,10.48,10.48,-0.9600000000000009,10.0
월계,UP,9.5,10.37,10.37,-0.8699999999999992,9.93
창동,UP,9.5,10.37,10.37,-0.8699999999999992,9.93
녹천,UP,9.5,10.37,10.37,-0.8699999999999992,9.93
방학,UP,9.42,10.37,10.37,-0.9499999999999993,9.9
도봉산,UP,9.42,10.37,10.37,-0.9499999999999993,9.9
망월사,UP,9.42,10.37,10.37,-0.9499999999999993,9.9
의정부,UP,9.42,10.37,10.37,-0.9499999999999993,9.9
도봉,UP,9.42,10.37,10.37,-0.9499999999999993,9.9
회룡,UP,9.42,10.37,10.37,-0.9499999999999993,9.9
금천구청,DOWN,8.74,8.96,8.96,-0.22000000000000064,8.85
가산디지털단지,DOWN,8.74,8.96,8.96,-0.22000000000000064,8.85
독산,DOWN,8.74,8.96,8.96,-0.22000000000000064,8.85
금천구청,UP,8.61,8.94,8.94,-0.33000000000000007,8.77
독산,UP,8.61,8.94,8.94,-0.33000000000000007,8.77
가산디지털단지,UP,8.61,8.94,8.94,-0.33000000000000007,8.77
회기,DOWN,6.4,6.21,6.21,0.1900000000000004,6.3
석계,DOWN,6.4,6.21,6.21,0.1900000000000004,6.3
청량리,DOWN,6.4,6.21,6.21,0.1900000000000004,6.3
신이문,DOWN,6.4,6.21,6.21,0.1900000000000004,6.3
외대앞,DOWN,6.4,6.21,6.21,0.1900000000000004,6.3
신이문,UP,6.22,6.22,6.22,0.0,6.22
석계,UP,6.22,6.22,6.22,0.0,6.22
회기,UP,6.22,6.22,6.22,0.0,6.22
외대앞,UP,6.22,6.22,6.22,0.0,6.22
광운대,UP,6.22,6.22,6.22,0.0,6.22
제기동,DOWN,5.88,5.61,5.61,0.2699999999999996,5.74
신설동,DOWN,5.88,5.61,5.61,0.2699999999999996,5.74
동묘앞,DOWN,5.88,5.61,5.61,0.2699999999999996,5.74
제기동,UP,5.56,5.63,5.63,-0.07000000000000028,5.6
청량리,UP,5.56,5.63,5.63,-0.07000000000000028,5.6
신설동,UP,5.56,5.63,5.63,-0.07000000000000028,5.6
종각,DOWN,5.65,5.37,5.37,0.28000000000000025,5.51
종로5가,DOWN,5.65,5.37,5.37,0.28000000000000025,5.51
종로3가,DOWN,5.65,5.37,5.37,0.28000000000000025,5.51
서울역,DOWN,5.65,5.37,5.37,0.28000000000000025,5.51
시청,DOWN,5.65,5.37,5.37,0.28000000000000025,5.51
동대문,DOWN,5.65,5.37,5.37,0.28000000000000025,5.51
노량진,DOWN,5.55,5.42,5.42,0.1299999999999999,5.48
대방,DOWN,5.55,5.42,5.42,0.1299999999999999,5.48
용산,DOWN,5.55,5.42,5.42,0.1299999999999999,5.48
신길,DOWN,5.55,5.42,5.42,0.1299999999999999,5.48
영등포,DOWN,5.55,5.42,5.42,0.1299999999999999,5.48
남영,DOWN,5.55,5.42,5.42,0.1299999999999999,5.48
노량진,UP,5.49,5.44,5.44,0.04999999999999982,5.46
용산,UP,5.49,5.44,5.44,0.04999999999999982,5.46
대방,UP,5.49,5.44,5.44,0.04999999999999982,5.46
서울역,UP,5.49,5.44,5.44,0.04999999999999982,5.46
신길,UP,5.49,5.44,5.44,0.04999999999999982,5.46
남영,UP,5.49,5.44,5.44,0.04999999999999982,5.46
종각,UP,5.43,5.33,5.33,0.09999999999999964,5.38
동묘앞,UP,5.43,5.33,5.33,0.09999999999999964,5.38
동대문,UP,5.43,5.33,5.33,0.09999999999999964,5.38
종로5가,UP,5.43,5.33,5.33,0.09999999999999964,5.38
종로3가,UP,5.43,5.33,5.33,0.09999999999999964,5.38
시청,UP,5.43,5.33,5.33,0.09999999999999964,5.38
구로,DOWN,5.26,5.15,5.15,0.10999999999999943,5.2
신도림,DOWN,5.26,5.15,5.15,0.10999999999999943,5.2
신도림,UP,5.07,5.08,5.08,-0.009999999999999787,5.08
영등포,UP,5.07,5.08,5.08,-0.009999999999999787,5.08
구로,UP,4.86,4.98,4.98,-0.1200000000000001,4.92
