구간,방향,복합지표_DAY,복합지표_END,복합지표_SAT,평균배차간격_분_DAY,평균배차간격_분_END,평균배차간격_분_SAT,평균소요시간_분_DAY,평균소요시간_분_END,평균소요시간_분_SAT,복합지표_차이(주중-주말)
종각 → 종로3가,UP,8.15,8.0,8.0,5.43,5.33,5.33,1.5,1.5,1.5,0.15000000000000036
신도림 → 영등포,UP,10.49,10.35,10.35,5.24,5.18,5.18,2.0,2.0,2.0,0.14000000000000057
영등포 → 신길,UP,10.49,10.35,10.35,5.24,5.18,5.18,2.0,2.0,2.0,0.14000000000000057
노량진 → 용산,UP,16.46,16.33,16.33,5.49,5.44,5.44,3.0,3.0,3.0,0.13000000000000256
대방 → 신길,DOWN,5.55,5.42,5.42,5.55,5.42,5.42,1.0,1.0,1.0,0.1299999999999999
남영 → 서울역,UP,13.72,13.61,13.61,5.49,5.44,5.44,2.5,2.5,2.5,0.11000000000000121
대방 → 노량진,UP,10.98,10.89,10.89,5.49,5.44,5.44,2.0,2.0,2.0,0.08999999999999986
서울역 → 시청,UP,10.98,10.89,10.89,5.49,5.44,5.44,2.0,2.0,2.0,0.08999999999999986
용산 → 남영,UP,10.98,10.89,10.89,5.49,5.44,5.44,2.0,2.0,2.0,0.08999999999999986
신길 → 대방,UP,5.49,5.44,5.44,5.49,5.44,5.44,1.0,1.0,1.0,0.04999999999999982
광운대 → 월계,UP,9.33,9.33,9.33,6.22,6.22,6.22,1.5,1.5,1.5,0.0
회기 → 외대앞,UP,9.33,9.33,9.33,6.22,6.22,6.22,1.5,1.5,1.5,0.0
신이문 → 석계,UP,12.44,12.44,12.44,6.22,6.22,6.22,2.0,2.0,2.0,0.0
석계 → 광운대,UP,12.44,12.44,12.44,6.22,6.22,6.22,2.0,2.0,2.0,0.0
외대앞 → 신이문,UP,6.22,6.22,6.22,6.22,6.22,6.22,1.0,1.0,1.0,0.0
구일 → 개봉,DOWN,15.6,15.65,15.65,10.4,10.44,10.44,1.5,1.5,1.5,-0.05000000000000071
중동 → 송내,DOWN,15.6,15.65,15.65,10.4,10.44,10.44,1.5,1.5,1.5,-0.05000000000000071
소사 → 부천,DOWN,15.6,15.65,15.65,10.4,10.44,10.44,1.5,1.5,1.5,-0.05000000000000071
송내 → 부개,DOWN,15.6,15.65,15.65,10.4,10.44,10.44,1.5,1.5,1.5,-0.05000000000000071
온수 → 역곡,DOWN,15.6,15.65,15.65,10.4,10.44,10.44,1.5,1.5,1.5,-0.05000000000000071
동두천 → 보산,DOWN,60.19,60.24,60.24,30.09,30.12,30.12,2.0,2.0,2.0,-0.05000000000000426
부평 → 백운,DOWN,20.8,20.87,20.87,10.4,10.44,10.44,2.0,2.0,2.0,-0.07000000000000028
부개 → 부평,DOWN,20.8,20.87,20.87,10.4,10.44,10.44,2.0,2.0,2.0,-0.07000000000000028
부천 → 중동,DOWN,20.8,20.87,20.87,10.4,10.44,10.44,2.0,2.0,2.0,-0.07000000000000028
역곡 → 소사,DOWN,20.8,20.87,20.87,10.4,10.44,10.44,2.0,2.0,2.0,-0.07000000000000028
개봉 → 오류동,DOWN,20.8,20.87,20.87,10.4,10.44,10.44,2.0,2.0,2.0,-0.07000000000000028
오류동 → 온수,DOWN,26.0,26.09,26.09,10.4,10.44,10.44,2.5,2.5,2.5,-0.08999999999999986
신설동 → 제기동,UP,8.34,8.44,8.44,5.56,5.63,5.63,1.5,1.5,1.5,-0.09999999999999964
제기동 → 청량리,UP,8.34,8.44,8.44,5.56,5.63,5.63,1.5,1.5,1.5,-0.09999999999999964
구로 → 신도림,UP,10.07,10.18,10.18,5.03,5.09,5.09,2.0,2.0,2.0,-0.10999999999999943
청량리 → 회기,UP,13.9,14.06,14.06,5.56,5.63,5.63,2.5,2.5,2.5,-0.16000000000000014
동두천 → 소요산,UP,65.15,65.35,65.35,18.67,20.11,20.11,3.49,3.25,3.25,-0.19999999999998863
개봉 → 구일,UP,15.44,15.67,15.67,10.29,10.45,10.45,1.5,1.5,1.5,-0.23000000000000043
부개 → 송내,UP,15.44,15.67,15.67,10.29,10.45,10.45,1.5,1.5,1.5,-0.23000000000000043
부천 → 소사,UP,15.44,15.67,15.67,10.29,10.45,10.45,1.5,1.5,1.5,-0.23000000000000043
역곡 → 온수,UP,15.44,15.67,15.67,10.29,10.45,10.45,1.5,1.5,1.5,-0.23000000000000043
송내 → 중동,UP,15.44,15.67,15.67,10.29,10.45,10.45,1.5,1.5,1.5,-0.23000000000000043
소사 → 역곡,UP,20.59,20.9,20.9,10.29,10.45,10.45,2.0,2.0,2.0,-0.3099999999999987
중동 → 부천,UP,20.59,20.9,20.9,10.29,10.45,10.45,2.0,2.0,2.0,-0.3099999999999987
오류동 → 개봉,UP,20.59,20.9,20.9,10.29,10.45,10.45,2.0,2.0,2.0,-0.3099999999999987
구일 → 구로,UP,20.59,20.9,20.9,10.29,10.45,10.45,2.0,2.0,2.0,-0.3099999999999987
온수 → 오류동,UP,25.73,26.12,26.12,10.29,10.45,10.45,2.5,2.5,2.5,-0.39000000000000057
독산 → 금천구청,DOWN,17.48,17.93,17.93,8.74,8.96,8.96,2.0,2.0,2.0,-0.4499999999999993
가산디지털단지 → 독산,DOWN,17.48,17.93,17.93,8.74,8.96,8.96,2.0,2.0,2.0,-0.4499999999999993
군포 → 당정,DOWN,15.54,16.01,16.01,10.36,10.67,10.67,1.5,1.5,1.5,-0.4700000000000024
금천구청 → 석수,DOWN,21.85,22.41,22.41,8.74,8.96,8.96,2.5,2.5,2.5,-0.5599999999999987
당정 → 의왕,DOWN,20.72,21.34,21.34,10.36,10.67,10.67,2.0,2.0,2.0,-0.620000000000001
석수 → 관악,DOWN,20.71,21.34,21.34,10.36,10.67,10.67,2.0,2.0,2.0,-0.629999999999999
명학 → 금정,DOWN,20.71,21.34,21.34,10.36,10.67,10.67,2.0,2.0,2.0,-0.629999999999999
독산 → 가산디지털단지,UP,17.22,17.89,17.89,8.61,8.94,8.94,2.0,2.0,2.0,-0.6700000000000017
금천구청 → 독산,UP,17.22,17.89,17.89,8.61,8.94,8.94,2.0,2.0,2.0,-0.6700000000000017
당정 → 군포,UP,15.26,15.97,15.97,10.17,10.65,10.65,1.5,1.5,1.5,-0.7100000000000009
병점 → 세마,DOWN,25.91,26.68,26.68,10.37,10.67,10.67,2.5,2.5,2.5,-0.7699999999999996
성균관대 → 화서,DOWN,25.9,26.68,26.68,10.36,10.67,10.67,2.5,2.5,2.5,-0.7800000000000011
화서 → 수원,DOWN,25.9,26.68,26.68,10.36,10.67,10.67,2.5,2.5,2.5,-0.7800000000000011
안양 → 명학,DOWN,25.89,26.68,26.68,10.36,10.67,10.67,2.5,2.5,2.5,-0.7899999999999991
관악 → 안양,DOWN,25.89,26.68,26.68,10.36,10.67,10.67,2.5,2.5,2.5,-0.7899999999999991
수원 → 세류,DOWN,31.08,32.01,32.01,10.36,10.67,10.67,3.0,3.0,3.0,-0.9299999999999997
금정 → 군포,DOWN,31.07,32.01,32.01,10.36,10.67,10.67,3.0,3.0,3.0,-0.9399999999999977
관악 → 석수,UP,20.35,21.3,21.3,10.17,10.65,10.65,2.0,2.0,2.0,-0.9499999999999993
금정 → 명학,UP,20.35,21.3,21.3,10.17,10.65,10.65,2.0,2.0,2.0,-0.9499999999999993
의왕 → 당정,UP,20.35,21.3,21.3,10.17,10.65,10.65,2.0,2.0,2.0,-0.9499999999999993
금천구청 → 광명,DOWN,43.69,44.82,44.82,8.74,8.96,8.96,5.0,5.0,5.0,-1.1300000000000026
수원 → 화서,UP,25.43,26.62,26.62,10.17,10.65,10.65,2.5,2.5,2.5,-1.1900000000000013
화서 → 성균관대,UP,25.43,26.62,26.62,10.17,10.65,10.65,2.5,2.5,2.5,-1.1900000000000013
명학 → 안양,UP,25.43,26.62,26.62,10.17,10.65,10.65,2.5,2.5,2.5,-1.1900000000000013
안양 → 관악,UP,25.43,26.62,26.62,10.17,10.65,10.65,2.5,2.5,2.5,-1.1900000000000013
석수 → 금천구청,UP,25.43,26.62,26.62,10.17,10.65,10.65,2.5,2.5,2.5,-1.1900000000000013
의왕 → 성균관대,DOWN,31.08,32.32,32.32,10.36,10.77,10.77,3.0,3.0,3.0,-1.240000000000002
세류 → 병점,DOWN,41.44,42.69,42.69,10.36,10.67,10.67,4.0,4.0,4.0,-1.25
천안 → 봉명,DOWN,37.02,38.31,38.31,18.51,19.16,19.16,2.0,2.0,2.0,-1.2899999999999991
녹천 → 창동,UP,14.25,15.56,15.56,9.5,10.37,10.37,1.5,1.5,1.5,-1.3100000000000005
가산디지털단지 → 구로,UP,34.43,35.78,35.78,8.61,8.94,8.94,4.0,4.0,4.0,-1.3500000000000014
세류 → 수원,UP,30.52,31.94,31.94,10.17,10.65,10.65,3.0,3.0,3.0,-1.4200000000000017
군포 → 금정,UP,30.52,31.94,31.94,10.17,10.65,10.65,3.0,3.0,3.0,-1.4200000000000017
성균관대 → 의왕,UP,30.52,31.94,31.94,10.17,10.65,10.65,3.0,3.0,3.0,-1.4200000000000017
도봉 → 도봉산,UP,14.13,15.56,15.56,9.42,10.37,10.37,1.5,1.5,1.5,-1.4299999999999997
방학 → 도봉,UP,14.13,15.56,15.56,9.42,10.37,10.37,1.5,1.5,1.5,-1.4299999999999997
창동 → 녹천,DOWN,14.29,15.72,15.72,9.52,10.48,10.48,1.5,1.5,1.5,-1.4300000000000015
도봉 → 방학,DOWN,14.29,15.72,15.72,9.52,10.48,10.48,1.5,1.5,1.5,-1.4300000000000015
도봉산 → 도봉,DOWN,14.29,15.72,15.72,9.52,10.48,10.48,1.5,1.5,1.5,-1.4300000000000015
녹양 → 가능,DOWN,18.1,19.63,19.63,12.07,13.09,13.09,1.5,1.5,1.5,-1.5299999999999976
병점 → 서동탄,DOWN,51.83,53.36,53.36,10.37,10.67,10.67,5.0,5.0,5.0,-1.5300000000000011
세마 → 오산대,DOWN,46.27,47.89,47.89,18.51,19.16,19.16,2.5,2.5,2.5,-1.6199999999999974
송탄 → 서정리,DOWN,46.27,47.89,47.89,18.51,19.16,19.16,2.5,2.5,2.5,-1.6199999999999974
가능 → 녹양,UP,17.79,19.48,19.48,11.86,12.99,12.99,1.5,1.5,1.5,-1.6900000000000013
녹천 → 월계,DOWN,19.25,20.95,20.95,9.63,10.48,10.48,2.0,2.0,2.0,-1.6999999999999993
광운대 → 석계,DOWN,19.25,20.96,20.96,9.63,10.48,10.48,2.0,2.0,2.0,-1.7100000000000009
월계 → 녹천,UP,19.0,20.75,20.75,9.5,10.37,10.37,2.0,2.0,2.0,-1.75
창동 → 방학,UP,19.0,20.75,20.75,9.5,10.37,10.37,2.0,2.0,2.0,-1.75
월계 → 광운대,DOWN,14.83,16.66,16.66,9.63,10.48,10.48,1.54,1.59,1.59,-1.83
회룡 → 망월사,DOWN,19.05,20.95,20.95,9.52,10.48,10.48,2.0,2.0,2.0,-1.8999999999999986
방학 → 창동,DOWN,19.05,20.95,20.95,9.52,10.48,10.48,2.0,2.0,2.0,-1.8999999999999986
망월사 → 회룡,UP,18.84,20.75,20.75,9.42,10.37,10.37,2.0,2.0,2.0,-1.9100000000000001
의정부 → 가능,UP,18.84,20.75,20.75,9.42,10.37,10.37,2.0,2.0,2.0,-1.9100000000000001
진위 → 송탄,DOWN,55.52,57.47,57.47,18.51,19.16,19.16,3.0,3.0,3.0,-1.9499999999999957
오산 → 진위,DOWN,55.52,57.47,57.47,18.51,19.16,19.16,3.0,3.0,3.0,-1.9499999999999957
가능 → 의정부,DOWN,24.14,26.17,26.17,12.07,13.09,13.09,2.0,2.0,2.0,-2.030000000000001
동두천중앙 → 지행,DOWN,28.31,30.4,30.4,18.87,20.26,20.26,1.5,1.5,1.5,-2.09
지행 → 동두천중앙,UP,28.0,30.16,30.16,18.67,20.11,20.11,1.5,1.5,1.5,-2.16
녹양 → 양주,UP,23.73,25.98,25.98,11.86,12.99,12.99,2.0,2.0,2.0,-2.25
도봉산 → 망월사,UP,23.55,25.93,25.93,9.42,10.37,10.37,2.5,2.5,2.5,-2.379999999999999
회룡 → 의정부,UP,23.55,25.93,25.93,9.42,10.37,10.37,2.5,2.5,2.5,-2.379999999999999
